intdate,UK,UK1,UK2,UK3,UK4
19550401,1.02139E+11,1.04238E+11,1.03678E+11,1.04811E+11,1.04591E+11
19550701,1.04238E+11,1.03678E+11,1.04811E+11,1.04591E+11,1.04476E+11
19551001,1.03678E+11,1.04811E+11,1.04591E+11,1.04476E+11,1.04934E+11
19560101,1.04811E+11,1.04591E+11,1.04476E+11,1.04934E+11,1.06988E+11
19560401,1.04591E+11,1.04476E+11,1.04934E+11,1.06988E+11,1.07011E+11
19560701,1.04476E+11,1.04934E+11,1.06988E+11,1.07011E+11,1.06316E+11
19561001,1.04934E+11,1.06988E+11,1.07011E+11,1.06316E+11,1.06525E+11
19570101,1.06988E+11,1.07011E+11,1.06316E+11,1.06525E+11,1.08731E+11
19570401,1.07011E+11,1.06316E+11,1.06525E+11,1.08731E+11,1.06241E+11
19570701,1.06316E+11,1.06525E+11,1.08731E+11,1.06241E+11,1.08589E+11
19571001,1.06525E+11,1.08731E+11,1.06241E+11,1.08589E+11,1.0867E+11
19580101,1.08731E+11,1.06241E+11,1.08589E+11,1.0867E+11,1.09258E+11
19580401,1.06241E+11,1.08589E+11,1.0867E+11,1.09258E+11,1.11034E+11
19580701,1.08589E+11,1.0867E+11,1.09258E+11,1.11034E+11,1.13396E+11
19581001,1.0867E+11,1.09258E+11,1.11034E+11,1.13396E+11,1.16301E+11
19590101,1.09258E+11,1.11034E+11,1.13396E+11,1.16301E+11,1.19158E+11
19590401,1.11034E+11,1.13396E+11,1.16301E+11,1.19158E+11,1.1822E+11
19590701,1.13396E+11,1.16301E+11,1.19158E+11,1.1822E+11,1.20089E+11
19591001,1.16301E+11,1.19158E+11,1.1822E+11,1.20089E+11,1.20819E+11
19600101,1.19158E+11,1.1822E+11,1.20089E+11,1.20819E+11,1.22782E+11
19600401,1.1822E+11,1.20089E+11,1.20819E+11,1.22782E+11,1.23267E+11
19600701,1.20089E+11,1.20819E+11,1.22782E+11,1.23267E+11,1.22633E+11
19601001,1.20819E+11,1.22782E+11,1.23267E+11,1.22633E+11,1.22412E+11
19610101,1.22782E+11,1.23267E+11,1.22633E+11,1.22412E+11,1.23001E+11
19610401,1.23267E+11,1.22633E+11,1.22412E+11,1.23001E+11,1.24166E+11
19610701,1.22633E+11,1.22412E+11,1.23001E+11,1.24166E+11,1.24919E+11
19611001,1.22412E+11,1.23001E+11,1.24166E+11,1.24919E+11,1.24416E+11
19620101,1.23001E+11,1.24166E+11,1.24919E+11,1.24416E+11,1.25097E+11
19620401,1.24166E+11,1.24919E+11,1.24416E+11,1.25097E+11,1.30461E+11
19620701,1.24919E+11,1.24416E+11,1.25097E+11,1.30461E+11,1.31075E+11
19621001,1.24416E+11,1.25097E+11,1.30461E+11,1.31075E+11,1.34096E+11
19630101,1.25097E+11,1.30461E+11,1.31075E+11,1.34096E+11,1.34864E+11
19630401,1.30461E+11,1.31075E+11,1.34096E+11,1.34864E+11,1.37228E+11
19630701,1.31075E+11,1.34096E+11,1.34864E+11,1.37228E+11,1.3774E+11
19631001,1.34096E+11,1.34864E+11,1.37228E+11,1.3774E+11,1.39872E+11
19640101,1.34864E+11,1.37228E+11,1.3774E+11,1.39872E+11,1.39483E+11
19640401,1.37228E+11,1.3774E+11,1.39872E+11,1.39483E+11,1.39602E+11
19640701,1.3774E+11,1.39872E+11,1.39483E+11,1.39602E+11,1.40784E+11
19641001,1.39872E+11,1.39483E+11,1.39602E+11,1.40784E+11,1.41663E+11
19650101,1.39483E+11,1.39602E+11,1.40784E+11,1.41663E+11,1.41872E+11
19650401,1.39602E+11,1.40784E+11,1.41663E+11,1.41872E+11,1.42667E+11
19650701,1.40784E+11,1.41663E+11,1.41872E+11,1.42667E+11,1.43183E+11
19651001,1.41663E+11,1.41872E+11,1.42667E+11,1.43183E+11,1.42577E+11
19660101,1.41872E+11,1.42667E+11,1.43183E+11,1.42577E+11,1.44536E+11
19660401,1.42667E+11,1.43183E+11,1.42577E+11,1.44536E+11,1.46529E+11
19660701,1.43183E+11,1.42577E+11,1.44536E+11,1.46529E+11,1.47194E+11
19661001,1.42577E+11,1.44536E+11,1.46529E+11,1.47194E+11,1.4796E+11
19670101,1.44536E+11,1.46529E+11,1.47194E+11,1.4796E+11,1.53354E+11
19670401,1.46529E+11,1.47194E+11,1.4796E+11,1.53354E+11,1.52761E+11
19670701,1.47194E+11,1.4796E+11,1.53354E+11,1.52761E+11,1.55824E+11
19671001,1.4796E+11,1.53354E+11,1.52761E+11,1.55824E+11,1.56503E+11
19680101,1.53354E+11,1.52761E+11,1.55824E+11,1.56503E+11,1.56112E+11
19680401,1.52761E+11,1.55824E+11,1.56503E+11,1.56112E+11,1.57228E+11
19680701,1.55824E+11,1.56503E+11,1.56112E+11,1.57228E+11,1.58159E+11
19681001,1.56503E+11,1.56112E+11,1.57228E+11,1.58159E+11,1.58979E+11
19690101,1.56112E+11,1.57228E+11,1.58159E+11,1.58979E+11,1.57884E+11
19690401,1.57228E+11,1.58159E+11,1.58979E+11,1.57884E+11,1.61652E+11
19690701,1.58159E+11,1.58979E+11,1.57884E+11,1.61652E+11,1.63263E+11
19691001,1.58979E+11,1.57884E+11,1.61652E+11,1.63263E+11,1.64771E+11
19700101,1.57884E+11,1.61652E+11,1.63263E+11,1.64771E+11,1.63732E+11
19700401,1.61652E+11,1.63263E+11,1.64771E+11,1.63732E+11,1.66606E+11
19700701,1.63263E+11,1.64771E+11,1.63732E+11,1.66606E+11,1.69572E+11
19701001,1.64771E+11,1.63732E+11,1.66606E+11,1.69572E+11,1.70207E+11
19710101,1.63732E+11,1.66606E+11,1.69572E+11,1.70207E+11,1.70314E+11
19710401,1.66606E+11,1.69572E+11,1.70207E+11,1.70314E+11,1.7484E+11
19710701,1.69572E+11,1.70207E+11,1.70314E+11,1.7484E+11,1.7526E+11
19711001,1.70207E+11,1.70314E+11,1.7484E+11,1.7526E+11,1.78032E+11
19720101,1.70314E+11,1.7484E+11,1.7526E+11,1.78032E+11,1.86968E+11
19720401,1.7484E+11,1.7526E+11,1.78032E+11,1.86968E+11,1.87241E+11
19720701,1.7526E+11,1.78032E+11,1.86968E+11,1.87241E+11,1.85345E+11
19721001,1.78032E+11,1.86968E+11,1.87241E+11,1.85345E+11,1.84558E+11
19730101,1.86968E+11,1.87241E+11,1.85345E+11,1.84558E+11,1.79528E+11
19730401,1.87241E+11,1.85345E+11,1.84558E+11,1.79528E+11,1.82105E+11
19730701,1.85345E+11,1.84558E+11,1.79528E+11,1.82105E+11,1.83246E+11
19731001,1.84558E+11,1.79528E+11,1.82105E+11,1.83246E+11,1.80483E+11
19740101,1.79528E+11,1.82105E+11,1.83246E+11,1.80483E+11,1.80603E+11
19740401,1.82105E+11,1.83246E+11,1.80483E+11,1.80603E+11,1.77509E+11
19740701,1.83246E+11,1.80483E+11,1.80603E+11,1.77509E+11,1.76931E+11
19741001,1.80483E+11,1.80603E+11,1.77509E+11,1.76931E+11,1.7908E+11
19750101,1.80603E+11,1.77509E+11,1.76931E+11,1.7908E+11,1.82043E+11
19750401,1.77509E+11,1.76931E+11,1.7908E+11,1.82043E+11,1.81669E+11
19750701,1.76931E+11,1.7908E+11,1.82043E+11,1.81669E+11,1.84E+11
19751001,1.7908E+11,1.82043E+11,1.81669E+11,1.84E+11,1.88037E+11
19760101,1.82043E+11,1.81669E+11,1.84E+11,1.88037E+11,1.88138E+11
19760401,1.81669E+11,1.84E+11,1.88037E+11,1.88138E+11,1.86977E+11
19760701,1.84E+11,1.88037E+11,1.88138E+11,1.86977E+11,1.88264E+11
19761001,1.88037E+11,1.88138E+11,1.86977E+11,1.88264E+11,1.91472E+11
19770101,1.88138E+11,1.86977E+11,1.88264E+11,1.91472E+11,1.92949E+11
19770401,1.86977E+11,1.88264E+11,1.91472E+11,1.92949E+11,1.95341E+11
19770701,1.88264E+11,1.91472E+11,1.92949E+11,1.95341E+11,1.97898E+11
19771001,1.91472E+11,1.92949E+11,1.95341E+11,1.97898E+11,1.99843E+11
19780101,1.92949E+11,1.95341E+11,1.97898E+11,1.99843E+11,1.98861E+11
19780401,1.95341E+11,1.97898E+11,1.99843E+11,1.98861E+11,2.07589E+11
19780701,1.97898E+11,1.99843E+11,1.98861E+11,2.07589E+11,2.0318E+11
19781001,1.99843E+11,1.98861E+11,2.07589E+11,2.0318E+11,2.053E+11
19790101,1.98861E+11,2.07589E+11,2.0318E+11,2.053E+11,2.03035E+11
19790401,2.07589E+11,2.0318E+11,2.053E+11,2.03035E+11,1.99067E+11
19790701,2.0318E+11,2.053E+11,2.03035E+11,1.99067E+11,1.98586E+11
19791001,2.053E+11,2.03035E+11,1.99067E+11,1.98586E+11,1.96563E+11
19800101,2.03035E+11,1.99067E+11,1.98586E+11,1.96563E+11,1.96026E+11
19800401,1.99067E+11,1.98586E+11,1.96563E+11,1.96026E+11,1.96559E+11
19800701,1.98586E+11,1.96563E+11,1.96026E+11,1.96559E+11,1.98842E+11
19801001,1.96563E+11,1.96026E+11,1.96559E+11,1.98842E+11,1.99069E+11
19810101,1.96026E+11,1.96559E+11,1.98842E+11,1.99069E+11,1.99357E+11
19810401,1.96559E+11,1.98842E+11,1.99069E+11,1.99357E+11,2.01795E+11
19810701,1.98842E+11,1.99069E+11,1.99357E+11,2.01795E+11,2.02179E+11
19811001,1.99069E+11,1.99357E+11,2.01795E+11,2.02179E+11,2.03572E+11
19820101,1.99357E+11,2.01795E+11,2.02179E+11,2.03572E+11,2.07079E+11
19820401,2.01795E+11,2.02179E+11,2.03572E+11,2.07079E+11,2.08915E+11
19820701,2.02179E+11,2.03572E+11,2.07079E+11,2.08915E+11,2.11359E+11
19821001,2.03572E+11,2.07079E+11,2.08915E+11,2.11359E+11,2.13458E+11
19830101,2.07079E+11,2.08915E+11,2.11359E+11,2.13458E+11,2.15256E+11
19830401,2.08915E+11,2.11359E+11,2.13458E+11,2.15256E+11,2.13269E+11
19830701,2.11359E+11,2.13458E+11,2.15256E+11,2.13269E+11,2.14059E+11
19831001,2.13458E+11,2.15256E+11,2.13269E+11,2.14059E+11,2.17213E+11
19840101,2.15256E+11,2.13269E+11,2.14059E+11,2.17213E+11,2.19714E+11
19840401,2.13269E+11,2.14059E+11,2.17213E+11,2.19714E+11,2.23299E+11
19840701,2.14059E+11,2.17213E+11,2.19714E+11,2.23299E+11,2.23107E+11
19841001,2.17213E+11,2.19714E+11,2.23299E+11,2.23107E+11,2.24158E+11
19850101,2.19714E+11,2.23299E+11,2.23107E+11,2.24158E+11,2.25834E+11
19850401,2.23299E+11,2.23107E+11,2.24158E+11,2.25834E+11,2.28391E+11
19850701,2.23107E+11,2.24158E+11,2.25834E+11,2.28391E+11,2.29928E+11
19851001,2.24158E+11,2.25834E+11,2.28391E+11,2.29928E+11,2.34262E+11
19860101,2.25834E+11,2.28391E+11,2.29928E+11,2.34262E+11,2.36229E+11
19860401,2.28391E+11,2.29928E+11,2.34262E+11,2.36229E+11,2.39505E+11
19860701,2.29928E+11,2.34262E+11,2.36229E+11,2.39505E+11,2.45364E+11
19861001,2.34262E+11,2.36229E+11,2.39505E+11,2.45364E+11,2.48254E+11
19870101,2.36229E+11,2.39505E+11,2.45364E+11,2.48254E+11,2.52941E+11
19870401,2.39505E+11,2.45364E+11,2.48254E+11,2.52941E+11,2.54603E+11
19870701,2.45364E+11,2.48254E+11,2.52941E+11,2.54603E+11,2.58558E+11
19871001,2.48254E+11,2.52941E+11,2.54603E+11,2.58558E+11,2.60772E+11
19880101,2.52941E+11,2.54603E+11,2.58558E+11,2.60772E+11,2.61846E+11
19880401,2.54603E+11,2.58558E+11,2.60772E+11,2.61846E+11,2.63514E+11
19880701,2.58558E+11,2.60772E+11,2.61846E+11,2.63514E+11,2.63651E+11
19881001,2.60772E+11,2.61846E+11,2.63514E+11,2.63651E+11,2.63719E+11
19890101,2.61846E+11,2.63514E+11,2.63651E+11,2.63719E+11,2.65371E+11
19890401,2.63514E+11,2.63651E+11,2.63719E+11,2.65371E+11,2.66644E+11
19890701,2.63651E+11,2.63719E+11,2.65371E+11,2.66644E+11,2.63704E+11
19891001,2.63719E+11,2.65371E+11,2.66644E+11,2.63704E+11,2.62665E+11
19900101,2.65371E+11,2.66644E+11,2.63704E+11,2.62665E+11,2.61838E+11
19900401,2.66644E+11,2.63704E+11,2.62665E+11,2.61838E+11,2.61442E+11
19900701,2.63704E+11,2.62665E+11,2.61838E+11,2.61442E+11,2.60779E+11
19901001,2.62665E+11,2.61838E+11,2.61442E+11,2.60779E+11,2.6124E+11
19910101,2.61838E+11,2.61442E+11,2.60779E+11,2.6124E+11,2.61346E+11
19910401,2.61442E+11,2.60779E+11,2.6124E+11,2.61346E+11,2.61067E+11
19910701,2.60779E+11,2.6124E+11,2.61346E+11,2.61067E+11,2.62816E+11
19911001,2.6124E+11,2.61346E+11,2.61067E+11,2.62816E+11,2.64742E+11
19920101,2.61346E+11,2.61067E+11,2.62816E+11,2.64742E+11,2.66762E+11
19920401,2.61067E+11,2.62816E+11,2.64742E+11,2.66762E+11,2.6818E+11
19920701,2.62816E+11,2.64742E+11,2.66762E+11,2.6818E+11,2.70418E+11
19921001,2.64742E+11,2.66762E+11,2.6818E+11,2.70418E+11,2.72389E+11
19930101,2.66762E+11,2.6818E+11,2.70418E+11,2.72389E+11,2.75836E+11
19930401,2.6818E+11,2.70418E+11,2.72389E+11,2.75836E+11,2.79116E+11
19930701,2.70418E+11,2.72389E+11,2.75836E+11,2.79116E+11,2.82336E+11
19931001,2.72389E+11,2.75836E+11,2.79116E+11,2.82336E+11,2.8384E+11
19940101,2.75836E+11,2.79116E+11,2.82336E+11,2.8384E+11,2.84637E+11
19940401,2.79116E+11,2.82336E+11,2.8384E+11,2.84637E+11,2.85751E+11
19940701,2.82336E+11,2.8384E+11,2.84637E+11,2.85751E+11,2.88862E+11
19941001,2.8384E+11,2.84637E+11,2.85751E+11,2.88862E+11,2.90247E+11
19950101,2.84637E+11,2.85751E+11,2.88862E+11,2.90247E+11,2.93666E+11
19950401,2.85751E+11,2.88862E+11,2.90247E+11,2.93666E+11,2.9449E+11
19950701,2.88862E+11,2.90247E+11,2.93666E+11,2.9449E+11,2.95521E+11
19951001,2.90247E+11,2.93666E+11,2.9449E+11,2.95521E+11,2.96474E+11
19960101,2.93666E+11,2.9449E+11,2.95521E+11,2.96474E+11,2.97909E+11
19960401,2.9449E+11,2.95521E+11,2.96474E+11,2.97909E+11,3.01318E+11
19960701,2.95521E+11,2.96474E+11,2.97909E+11,3.01318E+11,3.0349E+11
19961001,2.96474E+11,2.97909E+11,3.01318E+11,3.0349E+11,3.0756E+11
19970101,2.97909E+11,3.01318E+11,3.0349E+11,3.0756E+11,3.09517E+11
19970401,3.01318E+11,3.0349E+11,3.0756E+11,3.09517E+11,3.11857E+11
19970701,3.0349E+11,3.0756E+11,3.09517E+11,3.11857E+11,3.14098E+11
19971001,3.0756E+11,3.09517E+11,3.11857E+11,3.14098E+11,3.17295E+11
19980101,3.09517E+11,3.11857E+11,3.14098E+11,3.17295E+11,3.18806E+11
19980401,3.11857E+11,3.14098E+11,3.17295E+11,3.18806E+11,3.1956E+11
19980701,3.14098E+11,3.17295E+11,3.18806E+11,3.1956E+11,3.24767E+11
19981001,3.17295E+11,3.18806E+11,3.1956E+11,3.24767E+11,3.29111E+11
19990101,3.18806E+11,3.1956E+11,3.24767E+11,3.29111E+11,3.32555E+11
19990401,3.1956E+11,3.24767E+11,3.29111E+11,3.32555E+11,3.3496E+11
19990701,3.24767E+11,3.29111E+11,3.32555E+11,3.3496E+11,3.36221E+11
19991001,3.29111E+11,3.32555E+11,3.3496E+11,3.36221E+11,3.37211E+11
20000101,3.32555E+11,3.3496E+11,3.36221E+11,3.37211E+11,3.41026E+11
20000401,3.3496E+11,3.36221E+11,3.37211E+11,3.41026E+11,3.43637E+11
20000701,3.36221E+11,3.37211E+11,3.41026E+11,3.43637E+11,3.45468E+11
20001001,3.37211E+11,3.41026E+11,3.43637E+11,3.45468E+11,3.46546E+11
20010101,3.41026E+11,3.43637E+11,3.45468E+11,3.46546E+11,3.48115E+11
20010401,3.43637E+11,3.45468E+11,3.46546E+11,3.48115E+11,3.50978E+11
20010701,3.45468E+11,3.46546E+11,3.48115E+11,3.50978E+11,3.54058E+11
20011001,3.46546E+11,3.48115E+11,3.50978E+11,3.54058E+11,3.57286E+11
20020101,3.48115E+11,3.50978E+11,3.54058E+11,3.57286E+11,3.60733E+11
20020401,3.50978E+11,3.54058E+11,3.57286E+11,3.60733E+11,3.65803E+11
20020701,3.54058E+11,3.57286E+11,3.60733E+11,3.65803E+11,3.70428E+11
20021001,3.57286E+11,3.60733E+11,3.65803E+11,3.70428E+11,3.74127E+11
20030101,3.60733E+11,3.65803E+11,3.70428E+11,3.74127E+11,3.75324E+11
20030401,3.65803E+11,3.70428E+11,3.74127E+11,3.75324E+11,3.76455E+11
20030701,3.70428E+11,3.74127E+11,3.75324E+11,3.76455E+11,3.76942E+11
20031001,3.74127E+11,3.75324E+11,3.76455E+11,3.76942E+11,3.7847E+11
20040101,3.75324E+11,3.76455E+11,3.76942E+11,3.7847E+11,3.81142E+11
20040401,3.76455E+11,3.76942E+11,3.7847E+11,3.81142E+11,3.85058E+11
20040701,3.76942E+11,3.7847E+11,3.81142E+11,3.85058E+11,3.89023E+11
20041001,3.7847E+11,3.81142E+11,3.85058E+11,3.89023E+11,3.94268E+11
20050101,3.81142E+11,3.85058E+11,3.89023E+11,3.94268E+11,3.96566E+11
20050401,3.85058E+11,3.89023E+11,3.94268E+11,3.96566E+11,3.98553E+11
20050701,3.89023E+11,3.94268E+11,3.96566E+11,3.98553E+11,3.99251E+11
20051001,3.94268E+11,3.96566E+11,3.98553E+11,3.99251E+11,4.02258E+11
20060101,3.96566E+11,3.98553E+11,3.99251E+11,4.02258E+11,4.05329E+11
20060401,3.98553E+11,3.99251E+11,4.02258E+11,4.05329E+11,4.07767E+11
20060701,3.99251E+11,4.02258E+11,4.05329E+11,4.07767E+11,4.11205E+11
20061001,4.02258E+11,4.05329E+11,4.07767E+11,4.11205E+11,4.13131E+11
20070101,4.05329E+11,4.07767E+11,4.11205E+11,4.13131E+11,4.14424E+11
20070401,4.07767E+11,4.11205E+11,4.13131E+11,4.14424E+11,4.13465E+11
20070701,4.11205E+11,4.13131E+11,4.14424E+11,4.13465E+11,4.06584E+11
20071001,4.13131E+11,4.14424E+11,4.13465E+11,4.06584E+11,3.97522E+11
20080101,4.14424E+11,4.13465E+11,4.06584E+11,3.97522E+11,3.90406E+11
20080401,4.13465E+11,4.06584E+11,3.97522E+11,3.90406E+11,3.89388E+11
20080701,4.06584E+11,3.97522E+11,3.90406E+11,3.89388E+11,3.90167E+11
20081001,3.97522E+11,3.90406E+11,3.89388E+11,3.90167E+11,3.91685E+11
20090101,3.90406E+11,3.89388E+11,3.90167E+11,3.91685E+11,3.93678E+11
20090401,3.89388E+11,3.90167E+11,3.91685E+11,3.93678E+11,3.97525E+11
20090701,3.90167E+11,3.91685E+11,3.93678E+11,3.97525E+11,4.00096E+11
20091001,3.91685E+11,3.93678E+11,3.97525E+11,4.00096E+11,4.00195E+11
20100101,3.93678E+11,3.97525E+11,4.00096E+11,4.00195E+11,4.02341E+11
20100401,3.97525E+11,4.00096E+11,4.00195E+11,4.02341E+11,4.0326E+11
20100701,4.00096E+11,4.00195E+11,4.02341E+11,4.0326E+11,4.06068E+11
20101001,4.00195E+11,4.02341E+11,4.0326E+11,4.06068E+11,4.06008E+11
20110101,4.02341E+11,4.0326E+11,4.06068E+11,4.06008E+11,4.06283E+11
20110401,4.0326E+11,4.06068E+11,4.06008E+11,4.06283E+11,4.0556E+11
20110701,4.06068E+11,4.06008E+11,4.06283E+11,4.0556E+11,4.08938E+11
20111001,4.06008E+11,4.06283E+11,4.0556E+11,4.08938E+11,4.07557E+11
20120101,4.06283E+11,4.0556E+11,4.08938E+11,4.07557E+11,4.09985E+11
20120401,4.0556E+11,4.08938E+11,4.07557E+11,4.09985E+11,4.1262E+11
20120701,4.08938E+11,4.07557E+11,4.09985E+11,4.1262E+11,4.15577E+11
20121001,4.07557E+11,4.09985E+11,4.1262E+11,4.15577E+11,4.17265E+11
20130101,4.09985E+11,4.1262E+11,4.15577E+11,4.17265E+11,4.20946E+11
20130401,4.1262E+11,4.15577E+11,4.17265E+11,4.20946E+11,4.24454E+11
20130701,4.15577E+11,4.17265E+11,4.20946E+11,4.24454E+11,4.2708E+11
20131001,4.17265E+11,4.20946E+11,4.24454E+11,4.2708E+11,4.29673E+11
20140101,4.20946E+11,4.24454E+11,4.2708E+11,4.29673E+11,4.30962E+11
20140401,4.24454E+11,4.2708E+11,4.29673E+11,4.30962E+11,
20140701,4.2708E+11,4.29673E+11,4.30962E+11,,
20141001,4.29673E+11,4.30962E+11,,,
20150101,4.30962E+11,,,,
